Price,Emission Class_Euro 6,Registration_Year,Mileage(miles),Previous Owners,Emission Class_Euro 4
2889,False,2009,100000,,False
995,False,2005,110846,3.0,False
3350,False,2013,65000,4.0,False
2499,False,2008,85578,5.0,True
2100,False,2012,77502,5.0,False
1800,False,2011,130500,2.0,False
1299,False,2008,87000,5.0,True
10198,True,2016,50028,,False
9149,True,2016,55301,,False
2300,False,2010,64000,6.0,False
1500,False,2008,96270,9.0,True
1195,False,2005,45000,,False
3250,False,2011,78000,,False
5299,False,2014,54000,,False
2250,False,2005,49000,,False
2495,False,2011,95000,2.0,False
7699,False,2015,58000,,False
1999,False,2009,76850,3.0,True
2299,False,2009,99000,4.0,True
2950,False,2011,79000,4.0,False
8975,True,2017,86500,,False
15900,True,2019,62402,1.0,False
3450,True,2016,147000,2.0,False
4000,False,2006,114121,,True
1899,False,2009,82000,2.0,False
3995,False,2011,91000,,False
5799,True,2016,69550,,False
2995,False,1991,57400,,False
2000,False,2008,138000,6.0,True
2485,False,2006,77720,,True
1995,False,2008,84000,,True
2490,False,2006,59042,3.0,True
3495,True,2015,127000,,False
9198,True,2018,78691,,False
19800,True,2019,69690,1.0,False
1875,False,1972,75043,3.0,False
2745,False,2014,120000,,False
1990,False,2008,56817,,True
1650,False,2009,85285,,True
2250,False,2010,82000,,False
3795,False,2009,87009,4.0,False
5450,False,2012,69756,4.0,False
2600,False,2011,234680,1.0,False
2999,False,2001,77708,7.0,False
1990,False,2011,68840,4.0,False
798,False,2008,140599,,True
19800,True,2019,69690,1.0,False
8975,True,2017,86500,,False
2395,False,2009,109000,,True
1789,False,2002,119300,,False
5995,False,2013,78000,,False
3795,False,2011,120090,2.0,False
990,False,2004,93000,3.0,False
3100,False,2012,140000,2.0,False
1950,False,2009,88000,,True
2250,False,2009,77000,7.0,True
2495,False,2011,124138,3.0,False
2495,False,2011,101347,2.0,False
798,False,2008,140599,,True
8975,True,2017,86500,,False
10698,True,2020,22782,,False
2999,False,2009,107000,5.0,True
2495,False,2007,130000,,True
2299,False,2003,67200,3.0,False
1750,False,2010,113500,3.0,True
3100,False,2010,68160,4.0,True
1595,False,2006,106717,3.0,True
2300,False,2004,86276,,True
2495,False,2006,75000,2.0,True
1950,False,2010,127569,6.0,True
1675,False,2008,127000,7.0,True
798,False,2008,140599,,True
10698,True,2020,22782,,False
9600,True,2016,56984,4.0,False
4449,False,2012,89653,3.0,False
2495,False,2010,98000,,False
1400,False,1998,84000,2.0,False
3100,False,2009,96123,7.0,False
1995,False,2011,95843,6.0,False
1750,False,2009,100500,2.0,True
2075,False,2011,82013,4.0,False
1349,False,2004,120000,,True
4250,False,2008,120000,,True
5995,False,2010,55000,,False
2950,False,2011,79000,4.0,False
19800,True,2019,69690,1.0,False
9149,True,2016,55301,,False
3050,False,2009,158000,4.0,False
4950,False,2014,95000,3.0,False
1595,False,2008,99000,4.0,True
3945,False,2012,108528,,False
889,False,2003,65000,,False
2495,False,2009,104000,,False
1795,False,2002,50760,,True
1600,False,2007,69900,2.0,True
4149,False,2008,115000,5.0,True
2250,False,2004,129111,,True
2950,False,2011,105000,,False
9149,True,2016,55301,,False
10000,True,2017,46923,3.0,False
12450,True,2015,64000,5.0,False
2450,False,2010,92000,6.0,True
1889,False,2010,126000,,False
1990,False,1997,72000,5.0,False
1000,False,1999,81783,2.0,False
2499,False,2008,102000,4.0,True
2950,False,2008,81000,4.0,True
1700,False,2007,56000,3.0,True
2290,False,2007,25300,,True
2495,False,2011,81858,4.0,False
1299,False,2008,87000,5.0,True
10000,True,2017,46923,3.0,False
10698,True,2020,22782,,False
2900,False,2010,119035,5.0,False
1995,False,2009,102541,3.0,False
2110,False,2009,93930,4.0,True
2390,False,2005,35000,2.0,True
3790,False,2006,16300,2.0,True
1395,False,2004,114987,,False
8899,False,2015,118000,1.0,False
2595,False,2010,48000,4.0,False
2449,False,2009,125000,,True
1289,False,2004,138000,,True
2799,False,2011,99061,,False
9198,True,2018,78691,,False
9600,True,2016,56984,4.0,False
2050,False,2009,88000,,True
2950,False,2013,144000,4.0,False
4950,False,2012,90000,3.0,False
2495,False,2006,139000,,True
4449,False,2011,94500,,False
3999,False,2012,117000,3.0,False
3480,False,2009,117000,,True
1889,False,2007,127000,,True
1995,False,2006,62359,2.0,True
1490,False,2010,128600,2.0,False
1299,False,2008,87000,5.0,True
19800,True,2019,69690,1.0,False
9149,True,2016,55301,,False
2495,False,2008,93366,6.0,True
2975,False,2008,88000,,True
2495,False,2007,99000,,True
2499,False,2010,100000,,True
1995,False,2007,87500,5.0,True
2399,False,2008,53000,,True
1995,False,2009,70000,,False
7500,False,2012,87000,,False
4795,False,2015,47000,3.0,False
2599,False,2011,107575,1.0,False
2495,False,2010,149000,1.0,False
9149,True,2016,55301,,False
10698,True,2020,22782,,False
1750,False,2010,130000,4.0,True
5250,False,2013,121700,5.0,False
4995,False,2011,100000,,False
7099,True,2016,83000,2.0,False
1799,False,2009,93796,8.0,True
2870,False,2010,125392,1.0,False
2050,False,2010,83376,3.0,True
1750,False,2004,90000,3.0,True
1999,False,2012,125000,2.0,False
1950,False,2007,100000,4.0,True
1950,False,2012,93000,4.0,False
10698,True,2020,22782,,False
10698,True,2020,22782,,False
2275,False,2008,103383,5.0,True
1595,False,2012,148642,2.0,True
2450,False,2012,109714,5.0,False
1949,False,2012,70000,2.0,False
4200,False,2011,90000,3.0,False
1499,False,2006,131724,3.0,True
4199,False,2011,92000,3.0,False
2910,False,2011,118500,3.0,False
4280,False,2012,105000,,False
798,False,2008,140599,,True
10698,True,2020,22782,,False
19800,True,2019,69690,1.0,False
2390,False,2010,78000,,False
2175,False,2010,84000,,False
4750,True,2015,80000,,False
